Gateway,Delivarables,Major,Minor,,,
D0,Project charter,YES,NO,,,
D0,Vehicle tech specs,YES,NO,,,
D0,Benchmarking study,YES,YES,,,
D0,Market Survey (VOC),YES,NO,,,
D0,Quality Function Deployment (QFD),YES,NO,,,
D0,previous project lesson learnt,YES,NO,,,
D0,Feature list,YES,YES,,,
D0,Styling theme seletction,YES,NO,,,
D0,Reference For Quote(RFQ),YES,NO,,,
D0,Concept Generation,YES,NO,,,
D0,Packaging Study,YES,YES,,,
D0,D0 Data Release,YES,YES,,,
D1,Decision matrix,YES,NO,,,
D1,Styling Feasibility,YES,NO,,,
D1,Mule Build,YES,NO,,,
D1,Concept Finalization,YES,NO,,,
D1,Deisgn Verification Plan Setting,YES,YES,,,
D1,DFMEA,YES,YES,,,
D1,Design for Manufacturing,YES,YES,,,
D1,Design for Assembly,YES,YES,,,
D1,D1 Data Release,YES,YES,,,
D2,Virtual Simulation Readiness,YES,YES,,,
D2,Critical to Quality identification,YES,YES,,,
D2,GD&T Analysis,YES,YES,,,
D2,Styling Finalization,YES,NO,,,
D2,Tooling Development Kick Off,YES,NO,,,
D2,Digital DVP Clearance,YES,YES,,,
D2,D2 Data Release,YES,YES,,,
D3,Manufacturing Feedback Long lead parts,YES,NO,,,
D3,Supplier Feedback,YES,NO,,,
D3,Tooling Kickoff,YES,NO,,,
D3,DFM& DFA Sign off,YES,YES,,,
D3,Alpha Proto,YES,NO,,,
D3,Design Review (DMU),YES,YES,,,
D3,Testing Plan,YES,YES,,,
D3,Final Data Judjement,YES,NO,,,
D3,D3 Data Release,YES,YES,,,
D4,Beta Build,YES,YES,,,
D4,Physical Manufacturing Trials,YES,YES,,,
D4,Plant issue Resolution,YES,YES,,,
D4,Testing Issue Resolutuin,YES,YES,,,
D4,DVP&R Completion,YES,YES,,,
D4,Homologation,YES,YES,,,
D4,Percieved Quality Jury Assesment,YES,NO,,,
D4,Engineering Change Releases,YES,YES,,,
D4,Lessons Learned Workshop,YES,YES,,,
D4,Final Project Cost Report,YES,YES,,,
D4,Handover to Plant Operations,YES,YES,,,
D4,Team Release Notification,YES,YES,,,
D4,Project Closure Sign-off,YES,YES,,,
D4,D4 Data Release,YES,YES,,,
